Datetime,Open,High,Low,Close,Volume
2026-04-27 09:15:00+05:30,23965.349609375,24047.349609375,23952.0,24020.349609375,0
2026-04-27 09:20:00+05:30,24020.400390625,24066.44921875,24020.400390625,24046.599609375,0
2026-04-27 09:25:00+05:30,24044.44921875,24062.80078125,24025.30078125,24042.0,0
2026-04-27 09:30:00+05:30,24045.05078125,24057.69921875,24003.599609375,24008.849609375,0
2026-04-27 09:35:00+05:30,24008.900390625,24033.25,23998.30078125,24007.19921875,0
2026-04-27 09:40:00+05:30,24006.849609375,24045.400390625,24006.849609375,24045.400390625,0
2026-04-27 09:45:00+05:30,24043.44921875,24084.69921875,24043.44921875,24082.150390625,0
2026-04-27 09:50:00+05:30,24082.25,24101.05078125,24075.44921875,24099.80078125,0
2026-04-27 09:55:00+05:30,24099.150390625,24107.349609375,24092.349609375,24099.05078125,0
2026-04-27 10:00:00+05:30,24098.75,24102.650390625,24079.599609375,24080.19921875,0
2026-04-27 10:05:00+05:30,24079.099609375,24091.150390625,24068.900390625,24081.099609375,0
2026-04-27 10:10:00+05:30,24080.94921875,24090.0,24061.69921875,24063.30078125,0
2026-04-27 10:15:00+05:30,24063.900390625,24103.150390625,24063.900390625,24097.44921875,0
2026-04-27 10:20:00+05:30,24097.44921875,24098.0,24063.75,24066.30078125,0
2026-04-27 10:25:00+05:30,24067.30078125,24071.349609375,24045.400390625,24058.30078125,0
2026-04-27 10:30:00+05:30,24058.099609375,24061.19921875,24013.0,24023.19921875,0
2026-04-27 10:35:00+05:30,24022.5,24032.599609375,24014.400390625,24017.25,0
2026-04-27 10:40:00+05:30,24016.25,24049.69921875,24014.05078125,24043.44921875,0
2026-04-27 10:45:00+05:30,24041.599609375,24068.349609375,24025.75,24067.599609375,0
2026-04-27 10:50:00+05:30,24067.69921875,24088.94921875,24066.0,24080.099609375,0
2026-04-27 10:55:00+05:30,24079.849609375,24082.44921875,24071.349609375,24072.19921875,0
2026-04-27 11:00:00+05:30,24071.94921875,24076.599609375,24054.75,24063.599609375,0
2026-04-27 11:05:00+05:30,24062.75,24066.900390625,24026.849609375,24030.55078125,0
2026-04-27 11:10:00+05:30,24030.25,24059.30078125,24029.650390625,24056.900390625,0
2026-04-27 11:15:00+05:30,24055.44921875,24077.5,24053.30078125,24071.599609375,0
2026-04-27 11:20:00+05:30,24071.150390625,24073.05078125,24056.30078125,24058.0,0
2026-04-27 11:25:00+05:30,24057.400390625,24057.599609375,24029.69921875,24030.94921875,0
2026-04-27 11:30:00+05:30,24031.650390625,24039.849609375,24005.849609375,24014.150390625,0
2026-04-27 11:35:00+05:30,24012.900390625,24012.900390625,23974.400390625,23990.349609375,0
2026-04-27 11:40:00+05:30,23990.0,24002.099609375,23987.150390625,23998.650390625,0
2026-04-27 11:45:00+05:30,23998.44921875,24024.30078125,23984.30078125,24022.25,0
2026-04-27 11:50:00+05:30,24023.44921875,24023.44921875,24002.55078125,24019.19921875,0
2026-04-27 11:55:00+05:30,24019.30078125,24039.900390625,24018.349609375,24037.19921875,0
2026-04-27 12:00:00+05:30,24036.19921875,24038.30078125,24022.80078125,24030.25,0
2026-04-27 12:05:00+05:30,24028.599609375,24045.150390625,24027.0,24033.30078125,0
2026-04-27 12:10:00+05:30,24034.55078125,24044.849609375,24032.55078125,24040.5,0
2026-04-27 12:15:00+05:30,24039.849609375,24048.099609375,24035.69921875,24044.75,0
